0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,cluster
-0.8227136,0.70506746,-1.4867411,1.5622028,0.41013733,2.940904,-1.4623954,0.51038426,-0.3952457,0.4355838,0.21262378,0.14292446,1.2271725,0.34723532,-0.4000294,-0.69981664,0.67616194,-0.27067542,-0.20194435,-0.10218936,-1.2408612,0.97226745,0.57470006,0.11623918,1.428603,0.5999438,-0.18996511,0.09614599,0.027381856,-0.880924,0.69491994,0.7094713,0
0.06382306,0.44410282,-0.012936717,0.9113145,-0.41958365,0.251268,-0.27716815,0.24751864,1.5004679,-0.11114705,1.2764509,-1.039483,-0.706174,0.3079533,-0.5703245,0.96264935,-0.5871995,0.5737175,-0.090470955,-1.0639956,1.303743,-0.60308516,1.2396067,0.3535191,1.178378,0.17339815,0.007696124,0.33313948,-0.183925,-1.584037,-0.06548027,-0.8741003,0
-1.082024,1.5607835,-1.0349514,0.5901878,0.40555936,1.1917148,-2.2758844,-0.04664271,0.054325763,0.6639118,0.9832621,0.2383056,2.4338522,0.04926253,-0.0778316,0.9634173,1.1993468,-0.10746333,-0.15233028,-1.3371854,-2.2437224,2.2453268,2.0102947,-1.1289103,1.5548273,0.9047287,-1.2011544,0.55662936,1.0674834,-1.7466363,-0.09873332,-0.8707947,0
1.0982176,0.104874775,-1.0408891,1.3734058,1.6742705,3.8081234,-0.2955064,-0.8463668,-1.3075325,-0.843052,-0.13756354,0.17886458,1.5282282,0.7216166,0.3468437,-0.8176076,-1.0095676,0.5574559,0.31216705,1.5202488,-1.4854456,-1.0151929,-1.7421472,-0.4332579,0.19543402,-0.96534294,-0.43098703,-1.823142,-0.63799506,-0.59438527,0.48079062,1.0849603,1
1.5365559,0.07234254,0.71795875,-0.39070985,-1.2689288,-0.48957387,1.2592059,0.3323452,0.6117604,-1.1935273,0.06334259,-0.7460415,-0.3088492,-1.131683,-0.37403098,-0.08586749,1.9421849,0.23377389,1.3556584,0.17407125,0.7652642,0.93696016,0.021400604,0.0088726375,0.037663132,-0.28764206,-0.8207842,-0.21243498,-0.14461443,0.6861907,0.09851882,1.4251208,0
1.2785856,-0.3475205,1.1392717,-1.4151077,-0.2939558,-1.0581161,-1.5457686,-2.16205,-0.10747612,-0.3187768,0.602841,0.9608846,0.08454321,0.23842767,0.88956165,0.080396585,-1.130078,0.101548165,-1.3250723,-0.47325966,-0.2682239,0.15698999,3.0585983,-1.3404156,0.28743646,1.10932,-0.33313555,-0.23498064,0.7216838,-1.1905243,0.028528316,1.6189634,0
0.5870389,-1.0826385,-0.79020154,0.075850435,0.77790296,2.5804858,-0.611422,1.0358806,0.42897764,-0.2713089,-2.026141,1.876895,0.052900843,1.3447127,0.8359153,-0.5107463,0.75890124,0.56733316,-0.34148854,0.7738847,-1.5297387,-0.8549233,-0.34610382,-0.8691854,0.8258728,0.76138324,1.8852166,-1.2886322,-1.6736063,-0.5676287,0.29966503,-1.500439,1
0.6105227,-0.024337023,2.0896833,-0.48451287,-0.8408786,-0.116119914,0.6079925,-0.28958502,-0.22341537,-0.6146,0.773396,-0.6670443,-1.2861776,-0.9210462,-1.1658944,1.0247188,0.70024294,-0.14536448,0.41022095,0.67298377,-0.249398,-0.56097424,0.81388813,0.09989353,0.70081574,0.29613245,0.122904904,-0.763253,-0.12023395,-1.152198,0.19032884,0.64770675,0
-0.3181561,-0.29445487,0.92349243,-1.0057243,-0.95194817,0.247967,0.06799625,0.21460709,0.41411582,-0.693581,0.8402885,-1.8471657,-0.70532906,-0.040176313,-0.7391059,0.3468928,-0.61389947,-0.18988916,-0.15912077,-0.6335038,0.49833348,0.11358517,0.16767532,0.30111855,1.1935513,-0.267448,0.25409746,-0.2632875,-0.20202439,-1.6425095,0.22684295,-2.012338,0
0.23927355,0.40540785,1.2426373,0.33265078,-0.54490143,-0.6908731,-0.10601349,0.1288561,-0.021599168,-0.14222531,0.8688641,0.18877207,0.34758088,-0.4959751,-0.07484328,0.95255256,-0.017022219,-0.14955795,-0.52347225,-0.1889706,0.8523988,-0.055697624,1.0518129,0.28220737,0.2498784,0.4788293,0.0020839984,-0.12586997,0.038309626,-0.30164263,-0.34947473,0.568369,0
-0.38311526,-0.03886731,0.23904952,0.65355027,-0.8424418,0.77830917,-1.0852411,0.78052425,0.332445,-0.54813063,-1.0900189,-0.5374732,0.3580342,0.809045,-0.10093474,0.06571856,-0.7501346,1.1189061,-1.3632157,0.9892589,0.0028620807,-0.9399801,-0.057549343,-0.017797507,0.30356076,1.4539723,1.1488755,0.056881707,-0.6175789,0.7054203,-1.5165694,-1.5255381,0
